Response,Key,BIL_EXPOSURE_BEFORE_5
2689,2689,YES
3419,3419,YES
51783,51783,YES
37941,37941,YES
51689,51689,YES
25831,25831,YES
78235,78235,YES
679152,679152,YES
683172,683172,YES
815239,815239,YES
379852,379852,YES
371842,371842,YES
4175293,4175293,YES
1548236,1548326,YES
4718539,4718539,YES
6482719,6482719,YES
7621948,7621948,YES
31678452,31678452,YES
59436782,59436782,YES
92574361,29574361,YES
78643925,78643925,YES
91524736,91524736,YES
568723914,568723914,YES
857216439,85714369,YES
137648925,15764392,YES
692154378,692150078,YES
475619328,475621938,YES
32,32,YES
58,58,YES
34,34,YES
71,71,YES
17,17,YES
392,392,YES
793,793,YES
346,346,YES
186,186,YES
617,617,YES
2743,2743,YES
9657,9657,YES
3564,3564,YES
2439,2439,YES
4689,4689,YES
17258,17258,YES
35247,35247,YES
39172,39172,YES
83172,83172,YES
82743,82743,YES
976341,976341,YES
967123,867123,YES
859263,859263,YES
642851,642851,YES
783962,783962,YES
1829764,1829764,YES
2315479,2315479,YES
5486931,5486931,YES
1459273,1459273,YES
5816732,1573000,YES
73612598,73612598,YES
83749261,83749261,YES
13264859,16264859,YES
34296815,35296815,YES
84319627,84319427,YES
18,18,YES
96,96,YES
37,37,YES
15,15,YES
83,83,YES
679,679,YES
815,815,YES
582,582,YES
918,918,YES
416,416,YES
4321,4321,YES
9813,9813,YES
9132,9132,YES
9841,9841,YES
9574,9574,YES
36147,36147,YES
67321,36321,YES
29467,29467,YES
86243,86243,YES
76459,76459,YES
478529,478929,YES
319782,319728,YES
629783,629783,YES
879563,879563,YES
623874,623874,YES
6859274,6859274,YES
9356241,97536241,YES
6981375,69382745,YES
6352781,63547810,YES
1768354,1768354,YES
79,79,NO
85,85,NO
24,24,NO
85,85,NO
52,52,NO
269,269,NO
478,478,NO
836,836,NO
153,153,NO
153,153,NO
6395,6395,NO
5643,5643,NO
4376,4376,NO
3915,3915,NO
2941,2941,NO
15243,15243,NO
62351,62351,NO
13792,13792,NO
39716,39716,NO
38576,38576,NO
234957,234957,NO
723619,723691,NO
483972,483972,NO
163479,146371,NO
631578,631578,NO
4692713,4679921,NO
2684751,2684751,NO
6549813,6549813,NO
5482973,5694973,NO
2136479,2136479,NO
79685243,7956432,NO
59136782,5913782,NO
87942561,87942561,NO
45398271,4539835271,NO
18623957,18629372,NO
58,58,YES
25,25,YES
18,18,YES
87,87,YES
58,58,YES
267,267,YES
836,836,YES
214,214,YES
189,189,YES
387,387,YES
4269,4269,YES
7462,7462,YES
2493,2493,YES
7894,7894,YES
9341,9341,YES
73168,73168,YES
48519,48519,YES
42618,42618,YES
24936,24936,YES
96782,96782,YES
726143,726143,YES
289537,289537,YES
519273,519273,YES
124368,124368,YES
745128,745128,YES
2475968,2475968,YES
1653892,1683892,YES
2871945,2872945,YES
8159346,8159346,YES
9715432,9565712,YES
65,65,NO
68,68,NO
68,68,NO
83,83,NO
54,54,NO
439,439,NO
435,435,NO
951,951,NO
247,247,NO
983,983,NO
2461,2461,NO
5382,5382,NO
2475,2475,NO
9756,9756,NO
6519,6519,NO
69283,69283,NO
63579,63579,NO
49162,49162,NO
89257,89257,NO
95426,95426,NO
867135,867135,NO
